Clapeyron Database File
tc-PR; twu alpha Parameters [csvtype = like]
species,L,M,N
"""1-ETHYLNAPHTHALENE""",0.2601,0.8431,2.6637
"""1-HEPTADECENE""",0.4575,0.8387,2.7414
"""1-HEPTANOL""",2.2282,0.843,0.5185
"""1-HEPTENE""",0.211,0.843,2.6655
"""1-HEPTYNE""",0.3061,0.8594,2.4048
"""1-HEXADECANOL""",0.2632,0.8003,3.5971
"""1-HEXADECENE""",0.3741,0.8209,2.9537
"""1-HEXANOL""",2.3582,1.0,0.4486
"""1-HEXENE""",1.2793,0.9087,0.4794
"""1-HEXYNE""",0.2899,0.8641,2.3384
"""1-ISOPROPOXY-2-PROPANOL""",1.3256,0.8947,1.9581
"""1-METHOXY-2-PROPANOL PROPANOATE""",0.1185,0.8011,3.5745
"""1-METHYL-1-ETHYLCYCLOPENTANE""",0.356,0.8812,2.1146
"""1-METHYL-2-n-PROPYLBENZENE""",0.3606,0.867,2.2972
"""1-METHYL-3-HYDROXY-5-ISOPROPYL BENZENE""",0.1633,0.7978,3.5198
"""1-METHYL-3-n-PROPYLBENZENE""",0.2618,0.8428,2.6683
"""1-METHYL-4-n-PROPYLBENZENE""",0.2811,0.8471,2.5957
"""1-METHYL-4-VINYLCYCLOHEXENE""",1.4901,1.0,0.3582
"""1-METHYLCYCLOPENTENE""",1.1351,1.0,0.7315
"""1-METHYLINDENE""",0.1713,0.8346,2.8152
"""1-METHYLNAPHTHALENE""",1.3467,0.9999,0.6146
"""1-METHYLVINYL ACETATE""",0.3572,0.8667,2.302
"""1-NITROPROPANE""",0.5003,0.902,1.8803
"""1-NONADECENE""",0.5414,0.8452,2.6271
"""1-NONANOL""",2.0611,0.6903,0.6168
"""1-NONENE""",0.2621,0.8334,2.6708
"""1-NONYNE""",0.959,0.874,2.107
"""1-OCTADECANOL""",0.2619,0.7959,3.7231
"""1-OCTADECENE""",0.52,0.8457,2.6201
"""1-OCTANOL""",2.8339,0.9963,0.374
"""1-OCTENE""",0.234,0.8402,2.7132
"""1-OCTYNE""",0.286,0.8469,2.6002
"""1-PENTADECANOL""",0.2521,0.8009,3.5821
"""1-PENTADECENE""",0.3996,0.8141,2.6593
"""1-PENTANOL""",1.6858,1.0,0.6618
"""1-PENTENE""",0.1733,0.8531,2.5009
"""1-PENTYNE""",0.2989,0.8752,2.1885
"""1-PHENYLNAPHTHALENE""",0.2267,0.8192,3.1289
"""1-PROPANOL""",1.3795,1.0,0.8772
"""1-TETRADECANOL""",1.9654,0.5317,0.6998
"""1-TETRADECENE""",0.4654,0.8017,2.2553
"""1-trans-3,5-TRIMETHYLCYCLOHEXANE""",0.6455,0.8637,2.0247
"""1-TRIDECANOL""",0.2009,0.7978,3.6694
"""1-TRIDECENE""",0.3761,0.8142,2.5702
"""1-UNDECANOL""",0.1721,0.7985,3.6482
"""1-UNDECENE""",0.3342,0.8155,2.4741
"""2-(2-HEXOXYETHOXY)ETHANOL""",1.4184,0.8732,2.2143
"""2-(2-PENTOXYETHOXY)ETHANOL""",0.1718,0.7231,3.0821
"""2-(alpha-METHYLBENZYLOXY)-1-PROPANOL""",1.5102,0.904,1.859
"""2-(DIFLUOROMETHOXY)-1,1,1-TRIFLUOROETHANE""",0.1805,0.8285,2.9336
"""2,2,3,3-TETRAMETHYLBUTANE""",0.2431,0.8337,1.9847
"""2,2,3,3-TETRAMETHYLHEXANE""",0.2628,0.8513,2.5293
"""2,2,3,3-TETRAMETHYLPENTANE""",0.2044,0.8475,2.5889
"""2,2,3,4-TETRAMETHYLPENTANE""",0.3628,0.8202,1.7237
"""2,2,3-TRIMETHYLBUTANE""",0.1743,0.8506,2.5403
"""2,2,3-TRIMETHYLPENTANE""",0.2296,0.829,2.2405
"""2,2,4,4,6,8,8-HEPTAMETHYLNONANE""",0.2763,0.8271,2.9612
"""2,2,4,4-TETRAMETHYLPENTANE""",0.3235,0.8401,1.9576
"""2,2,4-TRIMETHYL-1,3-PENTANEDIOL""",0.0578,0.7437,3.5569
"""2,2,4-TRIMETHYLPENTANE""",0.2476,0.8486,2.331
"""2,2,5,5-TETRAMETHYLHEXANE""",1.1288,0.8753,0.7804
