Clapeyron Database File
tc-PR; twu alpha Parameters [csvtype = like]
species,L,M,N
"""n-HEXYL MERCAPTAN""",0.344,0.8276,1.9945
"""n-HEXYLAMINE""",0.1935,0.822,3.0669
"""n-HEXYLBENZENE""",0.3206,0.8455,2.623
"""NITRIC OXIDE""",0.8815,0.9552,1.4047
"""NITROGEN""",0.124,0.8897,2.0138
"""NITROGEN TRIFLUORIDE""",0.1167,0.8635,2.346
"""NITROMETHANE""",0.3405,0.8755,2.1848
"""NITROSYL CHLORIDE""",0.5112,0.9335,1.5823
"""NITROUS OXIDE""",0.6248,0.7933,0.7976
"""N-METHYL-2-PYRROLIDONE""",0.2689,0.8506,2.5405
"""N-METHYLANILINE""",0.5596,0.9046,1.8537
"""N-METHYLFORMAMIDE""",0.2187,0.8225,2.7274
"""N-METHYLPYRROLE""",1.58,1.0,0.4107
"""N-METHYLPYRROLIDINE""",0.1366,0.8455,2.6226
"""n-NONADECANE""",0.5946,0.7934,2.2654
"""n-NONANE""",0.4054,0.8097,1.9343
"""n-NONYL MERCAPTAN""",0.311,0.837,2.7719
"""n-NONYLAMINE""",0.3246,0.8279,2.9451
"""n-OCTACOSANE""",0.5288,0.8064,3.4336
"""n-OCTADECANE""",0.5533,0.7955,2.3067
"""n-OCTANE""",0.3385,0.8185,2.0747
"""n-OCTANOIC ACID""",0.2686,0.7551,3.0891
"""n-OCTYL FORMATE""",0.5862,0.8882,2.0317
"""n-OCTYL MERCAPTAN""",0.345,0.8201,2.2212
"""n-OCTYLAMINE""",0.2875,0.8266,2.9708
"""n-OCTYLBENZENE""",0.4687,0.8649,2.3264
"""NONANAL""",0.2057,0.8203,3.1034
"""n-PENTACOSANE""",0.5717,0.7803,2.4666
"""n-PENTADECANE""",0.477,0.797,2.2636
"""n-PENTANE""",0.2659,0.8404,1.958
"""n-PENTANOIC ACID""",0.3286,0.7931,2.9098
"""n-PENTYL ACETATE""",0.284,0.8423,2.6776
"""n-PENTYL MERCAPTAN""",0.42,0.8168,1.5685
"""n-PENTYLAMINE""",0.1715,0.8243,3.0184
"""n-PENTYLBENZENE""",0.362,0.8614,2.376
"""n-PROPYL ACETATE""",0.1843,0.8293,2.9166
"""n-PROPYL ACRYLATE""",0.188,0.824,3.0252
"""n-PROPYL BENZOATE""",1.504,1.0,0.6954
"""n-PROPYL FORMATE""",0.1293,0.8292,2.9192
"""n-PROPYL IODIDE""",0.2478,0.827,1.8415
"""n-PROPYL ISOBUTYRATE""",0.2008,0.8186,3.0976
"""n-PROPYL MERCAPTAN""",0.5175,0.8137,1.1229
"""n-PROPYL METHACRYLATE""",0.2471,0.8419,2.6848
"""n-PROPYL n-BUTYRATE""",1.3575,1.0,0.7023
"""n-PROPYL PROPIONATE""",0.3352,0.8292,2.3103
"""n-PROPYLAMINE""",1.5523,0.9091,0.4875
"""n-PROPYLBENZENE""",0.2911,0.8268,2.1234
"""n-PROPYLCYCLOHEXANE""",1.3357,1.0,0.5434
"""n-PROPYLCYCLOPENTANE""",0.2327,0.8395,2.4371
"""n-TETRACOSANE""",0.4656,0.8097,3.3513
"""n-TETRADECANE""",0.4902,0.7974,2.1353
"""n-TRICOSANE""",0.4697,0.8142,3.2426
"""n-TRIDECANE""",0.4482,0.8039,2.2343
"""n-TRIDECANOIC ACID""",0.3097,0.7964,3.7101
"""n-TRIDECYLBENZENE""",0.4024,0.825,3.0053
"""n-UNDECANE""",0.4185,0.8071,2.1224
"""n-UNDECYLBENZENE""",0.5854,0.8666,2.3028
"""o-CHLOROANILINE""",0.4344,0.8826,2.0969
"""o-CHLOROTOLUENE""",0.1822,0.8424,2.6751
"""o-CRESOL""",0.1884,0.8242,3.0216
"""OCTAFLUORO-2-BUTENE""",0.1488,0.8363,2.7833
"""OCTAFLUOROCYCLOBUTANE""",0.2736,0.7998,2.079
"""OCTAFLUOROPROPANE""",1.0384,1.0,0.8046
"""OCTAMETHYLCYCLOTETRASILOXANE""",0.1126,0.7914,3.7913
"""OCTANAL""",0.2504,0.8123,2.5886
"""o-CYMENE""",1.3233,0.9998,0.6506
"""o-DICHLOROBENZENE""",0.6645,0.5362,0.7607
"""o-DIETHYLBENZENE""",0.1146,0.8212,3.0855
"""o-ETHYLPHENOL""",0.2396,0.8293,2.9171
"""o-ETHYLTOLUENE""",0.3031,0.8067,1.9372
"""o-METHYLSTYRENE""",0.4187,0.7902,1.5589
"""o-NITROTOLUENE""",0.5431,0.8974,1.9293
"""o-PHENYLENEDIAMINE""",0.2632,0.814,2.8778
"""o-TERPHENYL""",0.3037,0.8325,2.8551
"""o-TOLUALCOHOL""",1.8262,1.0,0.5957
"""o-TOLUIC ACID""",0.2641,0.8122,3.2888
"""o-TOLUIDINE""",0.1988,0.8339,2.828
"""OXYGEN""",0.2129,0.8913,1.4005
"""o-XYLENE""",0.3108,0.8463,2.0289
"""OZONE""",0.152,0.8535,2.4937
"""PALUSTRIC ACID""",1.5807,0.8437,2.654
"""p-AMINOAZOBENZENE""",0.2532,0.8119,3.2693
"""p-AMINODIPHENYLAMINE""",0.2697,0.8096,3.3528
"""PARALDEHYDE""",0.1169,0.8093,3.361
"""p-BROMOTOLUENE""",1.1675,1.0,0.6892
"""p-CHLOROBENZOTRIFLUORIDE""",0.1706,0.8288,2.9265
"""p-CHLORONITROBENZENE""",0.2382,0.8258,2.9887
"""p-CHLOROPHENOL""",0.5723,0.9058,1.8415
"""p-CHLOROTOLUENE""",0.1962,0.8444,2.6411
"""p-CRESOL""",0.2376,0.8249,3.0064
"""p-CUMYLPHENOL""",0.2972,0.815,3.2242
"""p-CYMENE""",0.4366,0.838,1.7494
"""p-DICHLOROBENZENE""",0.1641,0.8357,2.6247
"""p-DIETHYLBENZENE""",0.2353,0.8386,2.7422
"""p-DIISOPROPYLBENZENE""",0.7692,0.624,0.9862
"""p-DIMETHYLAMINOBENZALDEHYDE""",0.5922,0.9016,1.8847
"""PENTACHLOROETHANE""",0.1847,0.8539,2.4879
"""PENTAETHYLBENZENE""",0.6261,0.8783,2.1505
"""PENTAFLUOROETHANE""",0.178,0.8414,2.6936
"""PENTAFLUOROPHENOL""",0.3411,0.8461,2.6127
"""PENTAMETHYLBENZENE""",0.3569,0.8094,1.2755
"""PENTANAL""",1.3073,1.0,0.6133
"""PENTYLCYCLOHEXANE""",0.2784,0.8393,2.7295
"""PERCHLORYL FLUORIDE""",0.2689,0.8414,1.6259
"""PERFLUOROBUTANOIC ACID""",0.306,0.7779,3.1443
"""PERFLUOROMETHYLCYCLOPENTANE""",0.1739,0.8132,2.903
"""PERFLUORO-n-HEPTANE""",1.4411,1.0,0.7576
"""PERFLUORO-n-HEXANE""",1.342,0.9999,0.7756
"""PERFLUORO-n-OCTANE""",1.6779,0.9906,0.6539
"""PERFLUORO-n-PENTANE""",0.2063,0.755,2.2356
"""p-ETHYLPHENOL""",1.7254,1.0,0.6104
"""p-ETHYLTOLUENE""",0.3008,0.8601,2.3955
"""PHENANTHRENE""",0.3472,0.8529,2.5032
"""PHENETOLE""",0.2584,0.8411,2.6985
"""PHENOL""",0.1991,0.8256,2.991
"""PHENYL ISOCYANATE""",0.5399,0.9129,1.7708
"""PHENYL MERCAPTAN""",0.2836,0.8036,1.7731
"""PHENYLACETONITRILE""",1.2638,1.0,0.8013
"""PHENYLMETHYLDICHLOROSILANE""",0.2206,0.8318,2.7596
"""PHENYLTRICHLOROSILANE""",0.2228,0.837,2.7705
"""PHOSGENE""",0.3604,0.8157,1.352
"""PHOSPHINE""",0.1839,0.9091,1.8077
"""PHOSPHORUS OXYCHLORIDE""",2.1675,0.9214,0.2352
"""PHOSPHORUS TRICHLORIDE""",0.2137,0.8675,2.291
"""PHOSPHORUS TRIFLUORIDE""",0.1383,0.8499,2.5512
"""PHTHALAN""",0.3159,0.8183,2.0699
"""p-HYDROXYBENZALDEHYDE""",1.0645,0.9756,1.1742
"""PIPERAZINE""",0.1813,0.8252,2.9993
"""PIPERIDINE""",1.1486,1.0,0.6192
"""p-METHYLSTYRENE""",0.2181,0.8123,2.2587
"""p-NITROTOLUENE""",0.5012,0.8979,1.9235
"""POTASSIUM""",0.124,0.9571,0.9549
"""p-PHENYLENEDIAMINE""",0.2319,0.8193,3.1255
"""PROPADIENE""",1.0853,0.4788,0.4593
"""PROPANAL""",0.78,0.9191,0.9736
"""PROPANE""",0.1596,0.8681,2.282
"""PROPARGYL ALCOHOL""",0.3727,0.8617,2.3718
"""PROPENYL CYCLOHEXENE""",0.9842,0.91,1.7986
"""PROPIONIC ACID""",1.2315,0.9999,0.9495
"""PROPIONIC ANHYDRIDE""",0.3319,0.8371,2.769
"""PROPIONITRILE""",0.4765,0.9096,1.8031
"""PROPYL CHLORIDE""",0.157,0.8521,2.5157
"""PROPYLENE""",0.4641,0.8419,1.0455
"""PROPYLENE GLYCOL 1-tert-BUTYL ETHER""",0.2,0.8195,3.1227
"""PROPYLENE GLYCOL alpha-METHYLBENZYL ETHER""",1.5917,0.9056,1.8436
"""PROPYLENE GLYCOL ETHYL ETHER ACETATE""",0.0,1.0,0.2
"""PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE""",1.2242,0.8952,0.8363
"""PROPYLENE GLYCOL n-PROPYL ETHER""",1.3538,0.8945,1.9606
"""p-TERPHENYL""",0.2937,0.8193,3.1266
"""p-tert-BUTYLPHENOL""",0.2324,0.8223,3.0615
"""p-tert-OCTYLPHENOL""",0.2791,0.8177,3.1622
"""p-TOLUALDEHYDE""",0.2242,0.8392,2.7322
"""p-TOLUIDINE""",0.318,0.8367,2.5326
"""p-XYLENE""",0.2262,0.8501,2.5471
"""PYRAZINE""",0.0695,0.8327,2.8515
"""PYRAZOLE""",0.164,0.8407,2.7049
"""PYRENE""",0.3811,0.8555,2.4636
"""PYRIDINE""",0.4805,0.8016,1.1963
"""PYRIMIDINE""",0.113,0.8428,2.6693
"""PYRROLE""",1.2798,1.0,0.6067
"""PYRROLIDINE""",0.146,0.7945,2.2621
"""QUINALDINE""",0.8463,0.5785,0.8724
"""QUINOLINE""",0.2736,0.8574,2.4341
"""QUINONE""",0.637,0.4405,0.6677
"""RADON""",0.1338,0.0001,0.2816
"""RDX""",0.4216,0.8073,3.4119
"""sec-BUTENYL ACETATE""",0.1391,0.8085,2.9978
"""sec-BUTYL ACETATE""",1.6713,0.9961,0.5247
"""sec-BUTYL CHLORIDE""",0.2889,0.8727,2.2207
"""sec-BUTYL FORMATE""",1.5709,1.0,0.5229
"""sec-BUTYL MERCAPTAN""",0.3063,0.8247,1.7061
"""sec-BUTYLAMINE""",0.138,0.8357,2.7944
"""sec-BUTYLBENZENE""",0.0916,0.8249,3.0055
"""sec-BUTYL-tert-BUTYL ETHER""",1.1799,1.0,0.7305
"""SILANE""",0.3789,0.9638,1.337
"""STYRENE""",0.315,0.8229,1.8367
"""SUCCINIMIDE""",0.2023,0.8071,2.9626
"""SULFUR DICHLORIDE""",1.2028,0.916,0.3841
"""SULFUR DIOXIDE""",0.4184,0.8238,1.4068
"""SULFUR HEXAFLUORIDE""",0.4935,0.4816,0.8175
"""SULFURYL CHLORIDE""",0.5272,0.487,0.7399
"""TEREPHTHALDEHYDE""",0.2421,0.8161,3.1991
"""tert-BUTYL ACETATE""",0.4166,0.7274,1.4202
"""tert-BUTYL CHLORIDE""",0.1371,0.8523,2.5127
"""tert-BUTYL ETHYL ETHER""",0.15,0.8324,2.8558
"""tert-BUTYL MERCAPTAN""",0.1154,0.8344,2.4607
"""tert-BUTYL METHACRYLATE""",0.1143,0.8124,3.2513
"""tert-BUTYLAMINE""",1.9553,0.898,0.3784
"""tert-BUTYLBENZENE""",1.4311,1.0,0.511
"""tert-BUTYLFORMAMIDE""",0.1986,0.8238,3.0296
"""tert-NONYL MERCAPTAN""",0.6124,0.8298,2.0567
"""tert-OCTYL MERCAPTAN""",0.1521,0.8359,2.7909
"""TETRACHLOROETHYLENE""",0.1095,0.8401,2.7152
"""TETRACHLOROSILANE""",1.2958,1.0,0.5235
"""TETRAETHOXYSILANE""",0.0,0.7775,2.6389
"""TETRAETHYL LEAD""",0.4975,0.8204,1.8026
"""TETRAETHYL SILANE""",1.0031,0.981,0.9408
"""TETRAETHYLENEPENTAMINE""",0.5604,0.8125,3.2827
"""TETRAFLUOROETHYLENE""",0.2848,0.8178,1.6793
"""TETRAFLUOROHYDRAZINE""",0.4617,0.9455,1.4823
"""TETRAHYDROFURAN""",0.1659,0.8527,2.4983
"""TETRAHYDROPYRAN""",0.1409,0.8425,2.501
"""TETRAHYDROTHIOPHENE""",1.2612,0.9997,0.5048
"""TETRAMETHYLSILANE""",0.9042,0.8537,0.7288
"""THIACYCLOPROPANE""",0.1338,0.8586,2.4172
"""THIONYL CHLORIDE""",1.0413,0.8257,0.4955
"""THIOPHENE""",0.1322,0.8505,2.542
"""THYMOL""",0.6192,0.8747,2.1951
"""TIN(IV) CHLORIDE""",1.3964,0.9299,0.4845
"""TOLUENE""",0.3094,0.8305,1.7808
"""trans,trans-2,4-HEXADIENE""",0.1613,0.8411,2.6973
"""trans-1,2-DICHLOROETHYLENE""",0.2312,0.8731,2.2158
"""trans-1,2-DIMETHYLCYCLOHEXANE""",1.2357,1.0,0.5628
"""trans-1,2-DIMETHYLCYCLOPENTANE""",0.21,0.8559,2.4575
"""trans-1,3,3,3-TETRAFLUOROPROPENE""",0.1472,0.8304,2.889
"""trans-1,3-DIMETHYLCYCLOHEXANE""",1.3761,1.0,0.497
"""trans-1,3-DIMETHYLCYCLOPENTANE""",0.2163,0.8576,2.4326
"""trans-1,3-PENTADIENE""",1.7662,1.0,0.3027
"""trans-1,4-DIMETHYLCYCLOHEXANE""",0.6723,0.833,0.9915
"""trans-2,n-HEXYL-DECAHYDRONAPHTHALENE""",1.1656,0.8733,2.2132
"""trans-2-BUTENE""",0.2025,0.8653,2.3206
"""trans-2-DODECENE""",0.928,0.8619,2.3685
"""trans-2-EICOSENE""",1.2868,0.8625,2.3599
"""trans-2-HEPTENE""",0.208,0.8427,2.67
"""trans-2-HEXENE""",0.6141,0.8484,1.1627
"""trans-2-OCTENE""",0.226,0.8396,2.7246
"""trans-2-PENTENE""",0.5987,0.8562,1.1013
"""trans-3-HEPTENE""",0.2177,0.8456,2.6212
"""trans-3-HEXENE""",0.364,0.8115,1.6053
"""trans-3-OCTENE""",0.1932,0.8382,2.7497
"""trans-4-OCTENE""",0.1983,0.8399,2.7194
"""trans-CROTONITRILE""",0.4403,0.8893,2.0121
"""trans-DECAHYDRONAPHTHALENE""",0.2375,0.8506,2.3802
"""trans-STILBENE""",1.3106,0.7009,0.7914
"""TRIBROMOMETHANE""",1.4429,0.8242,0.4097
"""TRICHLOROACETIC ACID""",0.2033,0.799,3.128
"""TRICHLOROACETYL CHLORIDE""",0.2539,0.8647,2.33
"""TRICHLOROETHYLENE""",0.9702,0.8821,0.677
"""TRICHLOROFLUOROMETHANE""",0.3338,0.8318,1.4422
"""TRICHLOROSILANE""",0.6241,0.8319,0.943
"""TRIDECAFLUOROHEPTANOIC ACID""",0.4502,0.7221,2.6273
"""TRIDECANAL""",0.5047,0.8482,2.579
"""TRIETHYLAMINE""",0.1805,0.84,2.718
"""TRIETHYLENEDIAMINE""",0.2166,0.8264,2.9763
"""TRIFLUOROACETAMIDE""",1.1706,0.918,1.7224
"""TRIFLUOROMETHANE""",0.3864,0.842,1.5744
"""TRIMETHYLALUMINUM""",0.0,0.7418,2.3647
"""TRIMETHYLAMINE""",0.1909,0.859,2.2795
"""TRIMETHYLCHLOROSILANE""",0.1757,0.8471,2.5957
"""TRIMETHYLENE SULFIDE""",0.5648,0.8324,0.962
"""TRIMETHYLGALLIUM""",0.0,0.7842,2.8305
"""TRI-n-BUTYLAMINE""",0.2752,0.8106,3.3297
"""TRIOXANE""",0.1665,0.8336,2.8345
"""TRIPHENYLMETHANE""",1.1476,0.8557,2.0558
"""TRIPROPYLENE GLYCOL MONOETHYL ETHER""",1.6239,0.8804,2.1245
"""TRIS(2-METHOXYETHOXY)VINYLSILANE""",0.3106,0.8148,3.2273
"""UNDECANAL""",0.2793,0.8103,3.1012
"""UNDECYL MERCAPTAN""",0.4688,0.8546,2.477
"""VALERONITRILE""",0.4937,0.8996,1.9049
"""VANADIUM""",0.6245,0.9993,0.3908
"""VINYL CHLORIDE""",0.0102,0.8375,2.7617
"""VINYL FLUORIDE""",0.0452,0.8376,2.7596
"""VINYL FORMATE""",1.0638,0.6419,0.6856
"""VINYL PROPIONATE""",0.1775,0.8291,2.922
"""VINYLACETONITRILE""",0.3269,0.8644,2.334
"""VINYLACETYLENE""",1.0083,1.0,0.5471
"""VINYLETHYLENE CARBONATE""",1.3097,0.9802,0.7869
"""VINYLTRICHLOROSILANE""",0.1607,0.8411,2.6974
"""VINYLTRIMETHOXYSILANE""",0.5313,0.8821,2.1031
"""WATER""",0.3865,0.872,1.9693
"""XENON""",0.1795,0.9203,1.7006
